suburb,responsible_authority,rest_area_name,description,site_status,latitude,longitude,lga,region,distance_from,road_name,road_number,link_no,carriageway_code,ne_unique,carriageway_configuration,side_of_road,category,vehicle_type,separated_parking_areas_light_heavy,shade,sign_non_potable,power_outlets,playground,litter_bins,emergency_phones,accessible,access_direction,lighting,tree_shading,tourist_information,sports_ground,shelter,bbq,picnic_table,toilets,baby_change_facilities,lookout,caravan_disposal,power_supply,driver_reviver,food_available,fuel_available,boat_ramp,pets_allowed,water_supply_type,access_direction_cardinal,guid,last_updated
MANTON,RMS,Manton Ridge,Y,OPEN,-34.83207,148.98542,YASS VALLEY,SOUTH WEST REGION,74km from Goulburn and  15km to Yass,HUME HIGHWAY,0000002,1552,C2,"0000002,1552,C2",PHYSICAL SEPARATION,RIGHT,PARKING AREA,HEAVY VEHICLES ONLY,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,COUNTER,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NONE,,A585BF5913F0B766,2021-10-25 14:56:44+00
BOWNING,RMS,Derringullen Creek,Y,,-34.79436,148.8687,YASS VALLEY,SOUTH WEST REGION,87km from Goulburn and 7km to Yass,HUME HIGHWAY,0000002,1582,B1,"0000002,1582,B1",PHYSICAL SEPARATION,LEFT,REST AREA,LIGHT VEHICLES ONLY,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,PRESCRIBED,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NONE,,009B1EAB735D5CB2,2021-10-25 14:56:44+00
BOWNING,RMS,McGarths (One Tree),Y,,-34.77867,148.84143,YASS VALLEY,SOUTH WEST REGION,10km from Yass and  91km to Gundagai,HUME HIGHWAY,0000002,1610,C2,"0000002,1610,C2",PHYSICAL SEPARATION,RIGHT,PARKING AREA,BOTH LIGHT AND HEAVY VEHICLES,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,COUNTER,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NONE,,0BDB6F1251A6A9B1,2021-10-25 14:56:44+00
BOWNING,RMS,Two Mile,Y,,-34.76655,148.76321,YASS VALLEY,SOUTH WEST REGION,18km from Yass and  83km to Gundagai,HUME HIGHWAY,0000002,1621,B4,"0000002,1621,B4",PHYSICAL SEPARATION,LEFT,PARKING AREA,HEAVY VEHICLES ONLY,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,PRESCRIBED,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NONE,,0A5F8728A24E71DE,2021-10-25 14:56:44+00
BOWNING,RMS,Conroys Gap,Y,,-34.77689,148.72532,YASS VALLEY,SOUTH WEST REGION,22km from Yass and  80km to Gundagai,HUME HIGHWAY,0000002,1640,B1,"0000002,1640,B1",PHYSICAL SEPARATION,LEFT,PARKING AREA,HEAVY VEHICLES ONLY,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,PRESCRIBED,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NONE,,F3EFD0021D6638C1,2021-10-25 14:56:44+00
BOWNING,RMS,Conroys Gap,N,OPEN,-34.77524,148.73393,YASS VALLEY,SOUTH WEST REGION,21km from Yass and  81km to Gundagai,HUME HIGHWAY,0000002,1640,C1,"0000002,1640,C1",PHYSICAL SEPARATION,RIGHT,PARKING AREA,HEAVY VEHICLES ONLY,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,COUNTER,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NONE,,D6E855CC2162E117,2021-10-25 14:56:44+00
BERREMANGRA,RMS,Gowlands,Y,,-34.8052,148.56402,HILLTOPS,SOUTH WEST REGION,40km from Yass and  62km to Gundagai,HUME HIGHWAY,0000002,1723,B1,"0000002,1723,B1",MAIN CARRIAGEWAY,LEFT,PARKING AREA,HEAVY VEHICLES ONLY,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,PRESCRIBED,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NONE,,DCD338632CC5D7A6,2021-10-25 14:56:44+00
BOOKHAM,RMS,Connor's Creek,Y,,-34.8104,148.62157,HILLTOPS,SOUTH WEST REGION,34km from Yass and  67km to Gundagai,HUME HIGHWAY,0000002,1723,C1,"0000002,1723,C1",MAIN CARRIAGEWAY,RIGHT,PARKING AREA,HEAVY VEHICLES ONLY,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,COUNTER,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NONE,,EA8A1B6CC0046650,2021-10-25 14:56:44+00
JUGIONG,RMS,Jugiong Hill,Y,,-34.82787,148.31229,HILLTOPS,SOUTH WEST REGION,64km from Yass and  38km to Gundagai,HUME HIGHWAY,0000002,1741,C2,"0000002,1741,C2",PHYSICAL SEPARATION,RIGHT,PARKING AREA,BOTH LIGHT AND HEAVY VEHICLES,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,COUNTER,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NONE,,5E4586D23727821E,2021-10-25 14:56:44+00
BERREMANGRA,RMS,Reedy Creek,Y,,-34.80632,148.47291,HILLTOPS,SOUTH WEST REGION,48km from Yass and  53km to Gundagai,HUME HIGHWAY,0000002,1732,B1,"0000002,1732,B1",MAIN CARRIAGEWAY,LEFT,PARKING AREA,HEAVY VEHICLES ONLY,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,PRESCRIBED,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NONE,,1EC047D1EDCB8FAA,2021-10-25 14:56:44+00
COOLAC,RMS,Mungi Mungi Hill,Y,,-34.88868,148.21829,COOTAMUNDRA-GUNDAGAI REGIONAL,SOUTH WEST REGION,76km from Yass and  26km to Gundagai,HUME HIGHWAY-NTH COOLAC INTERCHANGE,0000002,1745,B4,"0000002,1745,B4",PHYSICAL SEPARATION,LEFT,PARKING AREA,HEAVY VEHICLES ONLY,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,PRESCRIBED,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NONE,,A74E06414B8D5DD7,2021-10-25 14:56:44+00
COOLAC,RMS,Black Springs,Y,OPEN,-34.88182,148.23144,COOTAMUNDRA-GUNDAGAI REGIONAL,SOUTH WEST REGION,74km from Yass and  27km to Gundagai,HUME HIGHWAY-NTH COOLAC INTERCHANGE,0000002,1745,C4,"0000002,1745,C4",PHYSICAL SEPARATION,RIGHT,PARKING AREA,HEAVY VEHICLES ONLY,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,COUNTER,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NONE,,D816F60B90E29CFC,2021-10-25 14:56:44+00
GUNDAGAI,RMS,Four Mile Hill,Y,,-35.01934,148.11027,COOTAMUNDRA-GUNDAGAI REGIONAL,SOUTH WEST REGION,95km from Yass and  6km to Gundagai,HUME HIGHWAY-NTH GUNDAGAI,0000002,1832,B1,"0000002,1832,B1",MAIN CARRIAGEWAY,LEFT,PARKING AREA,HEAVY VEHICLES ONLY,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,PRESCRIBED,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NONE,,47623499451D76DB,2021-10-25 14:56:44+00
TUMBLONG,RMS,Tumblong,,,-35.13617,148.00928,COOTAMUNDRA-GUNDAGAI REGIONAL,SOUTH WEST REGION,12km from Gundagai and 168km to Albury,HUME HIGHWAY,0000002,1945,B2,"0000002,1945,B2",,LEFT,REST AREA,LIGHT VEHICLES ONLY,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,PRESCRIBED,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NONE,,488D2AF9A6068F1D,2021-10-25 14:56:44+00
SOUTH GUNDAGAI,RMS,Big Ben Creek,Y,OPEN,-35.10904,148.05511,COOTAMUNDRA-GUNDAGAI REGIONAL,SOUTH WEST REGION,6km from Gundagai and 173km to Albury,HUME HIGHWAY,0000002,1945,C2,"0000002,1945,C2",MAIN CARRIAGEWAY,RIGHT,PARKING AREA,HEAVY VEHICLES ONLY,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,COUNTER,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NONE,,C54606C0972718CF,2021-10-25 14:56:44+00
TUMBLONG,RMS,Bereena,Y,OPEN,-35.12167,148.02293,COOTAMUNDRA-GUNDAGAI REGIONAL,SOUTH WEST REGION,10km from Gundagai and 170km to Albury,HUME HIGHWAY,0000002,1945,C2,"0000002,1945,C2",MAIN CARRIAGEWAY,RIGHT,PARKING AREA,BOTH LIGHT AND HEAVY VEHICLES,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,COUNTER,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NONE,,60E23A501AD2E6E2,2021-10-25 14:56:44+00
TUMBLONG,RMS,Yellow Creek,Y,OPEN,-35.14302,147.96237,COOTAMUNDRA-GUNDAGAI REGIONAL,SOUTH WEST REGION,16km from Gundagai and 164km to Albury,HUME HIGHWAY,0000002,1951,C2,"0000002,1951,C2",MAIN CARRIAGEWAY,RIGHT,PARKING AREA,HEAVY VEHICLES ONLY,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,COUNTER,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NONE,,B80AB79FDA9AFCC1,2021-10-25 14:56:44+00
MUNDARLO,RMS,Deltroit,,,-35.17961,147.82624,COOTAMUNDRA-GUNDAGAI REGIONAL,SOUTH WEST REGION,30km from Gundagai and 149km to Albury,HUME HIGHWAY,0000002,1981,B2,"0000002,1981,B2",,LEFT,PARKING AREA,HEAVY VEHICLES ONLY,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,PRESCRIBED,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NONE,,DFEB498937A5A118,2021-10-25 14:56:44+00
MOUNT ADRAH,RMS,Wagga Hill,Y,OPEN,-35.20986,147.81276,COOTAMUNDRA-GUNDAGAI REGIONAL,SOUTH WEST REGION,34km from Gundagai and 146km to Albury,HUME HIGHWAY,0000002,1981,C2,"0000002,1981,C2",PHYSICAL SEPARATION,RIGHT,PARKING AREA,HEAVY VEHICLES ONLY,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,COUNTER,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NONE,,7279F49E869934FD,2021-10-25 14:56:44+00
TARCUTTA,RMS,,Y,,-35.3373,147.64716,WAGGA WAGGA,SOUTH WEST REGION,56km from Gundagai and 124km to Albury,HUME HIGHWAY,0000002,2055,B1,"0000002,2055,B1",PHYSICAL SEPARATION,LEFT,PARKING AREA,HEAVY VEHICLES ONLY,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,PRESCRIBED,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NONE,,6B1D6DE2D5A76EE1,2021-10-25 14:56:44+00
TARCUTTA,RMS,,Y,,-35.35381,147.6518,WAGGA WAGGA,SOUTH WEST REGION,58km from Gundagai and 122km to Albury,HUME HIGHWAY,0000002,2055,B1,"0000002,2055,B1",PHYSICAL SEPARATION,LEFT,REST AREA,LIGHT VEHICLES ONLY,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,PRESCRIBED,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,WATER TRUCK,,721567316E73BFED,2021-10-25 14:56:44+00
BARRABA,COUNCIL,Barraba Omeara Park,,,-30.3887,150.61,TAMWORTH,NORTHERN REGION,44.1km North of Tamworth,TAMWORTH-YETMAN RD,0000063,0185,A1,"0000063,0185,A1",,RIGHT,REST AREA,LIGHT VEHICLES ONLY,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,BOTH,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,RAINWATER TANK,BOTH,BF152BD4BA3F56E7,2021-10-25 14:56:44+00
WARIALDA,COUNCIL,Warialda Apex Park,,,-29.54299,150.56866,GWYDIR,NORTHERN REGION,0.7km West of Warialda,MOREE ROAD,0000012,0550,A1,"0000012,0550,A1",,LEFT,REST AREA,BOTH LIGHT AND HEAVY VEHICLES,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,BOTH,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,WATER TRUCK,BOTH,A326D1CB525DF383,2021-10-25 14:56:44+00
WARIALDA,COUNCIL,Warialda Saleyards,,,-29.5457,150.582,GWYDIR,NORTHERN REGION,60.3km West of Inverell,GWYDIR HIGHWAY,0000012,0510,A1,"0000012,0510,A1",,RIGHT,REST AREA,LIGHT VEHICLES ONLY,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,BOTH,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NONE,BOTH,EACE1DD5385F494A,2021-10-25 14:56:44+00
BARRABA,COUNCIL,Australia Day Park - Barraba,,,-30.37537,150.61136,TAMWORTH,NORTHERN REGION,0.3km North of Barraba,QUEEN STREET,0000063,0205,A1,"0000063,0205,A1",,RIGHT,REST AREA,LIGHT VEHICLES ONLY,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,BOTH,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TOWN SUPPLY,BOTH,5518B1BCECAAAA00,2021-10-25 14:56:44+00
FERNBROOK,COUNCIL,Johnson,,,-30.34716,152.65067,BELLINGEN,NORTHERN REGION,6.6km West of Dorrigo (38.6km East of Ebor),WATERFALL WAY,0000076,0120,A1,"0000076,0120,A1",,RIGHT,REST AREA,BOTH LIGHT AND HEAVY VEHICLES,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,COUNTER,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NONE,BOTH,8BD87D42A73A0C24,2021-10-25 14:56:44+00
EBOR,NATIONAL PARKS AND WILDLIFE SERVICE,Ebor Falls Lookout,,,-30.4066,152.34565,ARMIDALE REGIONAL,NORTHERN REGION,47.2km West of Dorrigo (1km West of Ebor),WATERFALL WAY,0000076,0175,A1,"0000076,0175,A1",,RIGHT,REST AREA,LIGHT VEHICLES ONLY,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,BOTH,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,2,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NONE,BOTH,3C5560295F9B3608,2021-10-25 14:56:44+00
EBOR,RMS,Snowy Range,,,-30.42511,152.32438,ARMIDALE REGIONAL,NORTHERN REGION,50.3km West of Dorrigo,WATERFALL WAY,0000076,0180,A2,"0000076,0180,A2",,LEFT,PARKING AREA,BOTH LIGHT AND HEAVY VEHICLES,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,BOTH,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NONE,BOTH,A999B2117F466065,2021-10-25 14:56:44+00
WOLLOMOMBI,RMS,Oakey Creek,,OPEN,-30.50027,152.25331,ARMIDALE REGIONAL,NORTHERN REGION,62.3km West of Dorrigo,WATERFALL WAY,0000076,0200,A2,"0000076,0200,A2",PHYSICAL SEPARATION,LEFT,REST AREA,LIGHT VEHICLES ONLY,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,BOTH,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NONE,BOTH,D72A0E6F7FEA780E,2021-10-25 14:56:44+00
WOLLOMOMBI,RMS,Dingo Fence,,OPEN,-30.50249,152.14524,ARMIDALE REGIONAL,NORTHERN REGION,74.1km West of Dorrigo,WATERFALL WAY,0000076,0210,A1,"0000076,0210,A1",PHYSICAL SEPARATION,LEFT,REST AREA,LIGHT VEHICLES ONLY,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,BOTH,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NONE,BOTH,5ACEDD3A9099A7DD,2021-10-25 14:56:44+00
METZ,RMS,Gara River,,OPEN,-30.5441,151.79453,ARMIDALE REGIONAL,NORTHERN REGION,110.9km West of Dorrigo,WATERFALL WAY,0000076,0280,A2,"0000076,0280,A2",PHYSICAL SEPARATION,RIGHT,REST AREA,LIGHT VEHICLES ONLY,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,BOTH,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NONE,BOTH,FA0A6F494E427DC6,2021-10-25 14:56:44+00
DORRIGO,COUNCIL,Dorrigo Bielsdown River,,,-30.3398,152.709,BELLINGEN,NORTHERN REGION,0.2km West of Dorrigo,CUDGERY STREET,0000076,0100,A1,"0000076,0100,A1",,LEFT,REST AREA,LIGHT VEHICLES ONLY,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,BOTH,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NONE,BOTH,E9A7391DAD62BEA2,2021-10-25 14:56:44+00
WHIPORIE,RMS,Whiporie,,OPEN,-29.30864,152.99695,RICHMOND VALLEY,NORTHERN REGION,50.7km North of Grafton,SUMMERLAND WAY,0000083,0170,A2,"0000083,0170,A2",MAIN CARRIAGEWAY,RIGHT,REST AREA,BOTH LIGHT AND HEAVY VEHICLES,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,BOTH,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,RAINWATER TANK,BOTH,75FA4AB1B7D3858E,2021-10-25 14:56:44+00
ELLANGOWAN,RMS,Braemar Park,,OPEN,-29.08809,153.00179,RICHMOND VALLEY,NORTHERN REGION,75.8km North of Grafton,SUMMERLAND WAY,0000083,0190,A4,"0000083,0190,A4",PHYSICAL SEPARATION,RIGHT,REST AREA,LIGHT VEHICLES ONLY,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,BOTH,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,RAINWATER TANK,BOTH,4E0CA5AD9E1D761D,2021-10-25 14:56:44+00
WIANGAREE,COUNCIL,Wiangaree Town Rest Area,,,-28.5063,152.967,KYOGLE,NORTHERN REGION,14.1km North of Kyogle,SUMMERLAND WAY,0000083,0410,A6,"0000083,0410,A6",,LEFT,REST AREA,BOTH LIGHT AND HEAVY VEHICLES,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,BOTH,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NONE,BOTH,D14A0D7AF900EE68,2021-10-25 14:56:44+00
TENTERFIELD,COUNCIL,Rotary Park - Tenterfield,,,-29.04633,152.02049,TENTERFIELD,NORTHERN REGION,1.0km North of Tenterfield,ROUSE ST,0000009,1500,A1,"0000009,1500,A1",,LEFT,REST AREA,LIGHT VEHICLES ONLY,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,BOTH,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,RAINWATER TANK,BOTH,A3BDB2F11C9FADB7,2021-10-25 14:56:44+00
NEW PARK,COUNCIL,Kyogle Apex Park,,,-28.6166,153.002,KYOGLE,NORTHERN REGION,0.2km North of Kyogle,SUMMERLAND WAY,0000083,0399,A1,"0000083,0399,A1",,LEFT,REST AREA,LIGHT VEHICLES ONLY,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,BOTH,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NONE,BOTH,F2EE93B7BB43762F,2021-10-25 14:56:44+00
COFFS HARBOUR,OTHER,South Coffs Harbour Service Centre,,,-30.3188,153.09,COFFS HARBOUR,NORTHERN REGION,106.78km North of Kempsey,PACIFIC HIGHWAY,0000010,2490,B1,"0000010,2490,B1",,LEFT,HIGHWAY SERVICE CENTRE,BOTH LIGHT AND HEAVY VEHICLES,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,PRESCRIBED,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NONE,,5B5A2FF20C6AE6EC,2021-10-25 14:56:44+00
COFFS HARBOUR,COUNCIL,Coffs Harbour Moonee Street Tourist Park,,,-30.2999,153.11099,COFFS HARBOUR,NORTHERN REGION,110.17km North of Kempsey,GRAFTON STREET,0000010,2500,A1,"0000010,2500,A1",,LEFT,REST AREA,LIGHT VEHICLES ONLY,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,PRESCRIBED,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TOWN SUPPLY,,EDC567999AD7E41F,2021-10-25 14:56:44+00
BLACKHEATH,COUNCIL,Neates Park,,,-33.63709,150.28501,BLUE MOUNTAINS,SYDNEY PARKLAND ZONE,29.1km from Lithgow,GREAT WESTERN HWY,0000005,1490,A1,"0000005,1490,A1",,LEFT,REST AREA,BOTH LIGHT AND HEAVY VEHICLES,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,BOTH,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NONE,BOTH,AF5CF7E0C8CF8FBE,2021-10-25 14:56:44+00
CUDGEGONG,RMS,Cudgegong Truck Rest Area,,,-32.82491,149.81364,MID WESTERN REGIONAL,WESTERN REGION,36.77km from Mudgee turnoff,CASTLEREAGH HIGHWAY,0000018,1110,A2,"0000018,1110,A2",,LEFT,REST AREA,BOTH LIGHT AND HEAVY VEHICLES,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,BOTH,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NONE,BOTH,D1D9E9E5195F1B02,2021-10-25 14:56:44+00
COWAN,RMS,Former RTA Weighbridge,,,-33.61148,151.15895,HORNSBY,SYDNEY HARBOUR ZONE,29.4km North start of Pacific Hwy,PACIFIC HWY,0000010,0830,B1,"0000010,0830,B1",,RIGHT,REST AREA,BOTH LIGHT AND HEAVY VEHICLES,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,PRESCRIBED,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NONE,,E1B76F67B79B5E14,2021-10-25 14:56:44+00
BOURKE,RMS,Beemery,,,-30.00391,146.35969,BOURKE,WESTERN REGION,43km From Bourke,KAMILAROI HIGHWAY,0000029,0750,A4,"0000029,0750,A4",,LEFT,REST AREA,BOTH LIGHT AND HEAVY VEHICLES,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,BOTH,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NONE,BOTH,A55F68AC26B1A126,2021-10-25 14:56:44+00
